application_id,applicant_name,email,birth_date,profession,company_id,country,city,application_type,status,submitted_at,source_channel
0,Cleto Galván,penaelisa@example.net,2008-03-21,Software Engineer,102,Dominican Republic,La Romana,Honorary,Approved,2023-10-01 06:47:51,Website
1,Amalia Sáenz,elisabet65@example.com,1998-09-07,Software Engineer,225,Dominican Republic,San Francisco de Macorís,Honorary,Rejected,2024-05-28 06:21:08,Event
2,Maxi Heras,graciela66@example.net,1977-06-07,Accountant,119,Dominican Republic,San Pedro de Macorís,Corporate,Approved,2024-07-07 12:06:27,Referral
3,Samanta Murillo,aceroyago@example.net,1989-02-26,Business Consultant,242,Dominican Republic,San Pedro de Macorís,Student,Rejected,2022-09-01 19:01:19,Walk-in
4,Amancio Casado,juana35@example.com,1996-07-10,Software Engineer,153,Dominican Republic,Santo Domingo,Honorary,Rejected,2025-07-12 18:04:53,Email Campaign
5,Aránzazu Reyes,abrahammontserrat@example.org,1997-01-18,Software Engineer,238,Dominican Republic,Puerto Plata,Honorary,Approved,2024-07-20 11:31:15,Walk-in
6,Samanta Arroyo,irene73@example.net,1991-12-21,Financial Analyst,266,Dominican Republic,San Francisco de Macorís,Student,Approved,2024-11-21 15:07:23,Event
7,Mamen Bertrán,tiburcio71@example.net,1988-07-30,Lawyer,61,Dominican Republic,La Romana,Student,Rejected,2023-12-27 08:39:18,Email Campaign
8,Elvira Ferrero,ruthvina@example.net,2002-03-10,Lawyer,251,Dominican Republic,San Pedro de Macorís,Individual,Rejected,2025-10-12 05:04:39,Website
9,Amílcar Castell,tbonet@example.net,1994-02-26,Software Engineer,185,Dominican Republic,Santiago,Corporate,Rejected,2025-06-16 16:00:06,Event
10,Florentino Salmerón,toledogloria@example.net,1983-09-06,Data Analyst,22,Dominican Republic,Punta Cana,Corporate,Approved,2023-07-23 10:34:57,Referral
11,Héctor Donaire,camachotrinidad@example.net,1976-06-24,Data Analyst,56,Dominican Republic,La Romana,Student,Under Review,2022-11-07 04:39:07,Walk-in
12,Úrsula Morera,olozano@example.net,1984-04-01,Civil Engineer,36,Dominican Republic,Santiago,Corporate,Approved,2025-07-16 04:19:06,Email Campaign
13,Tomasa Casal,agatatellez@example.org,2002-07-21,Civil Engineer,194,Dominican Republic,Puerto Plata,Individual,Approved,2024-04-26 08:05:37,Event
14,Salomé Goicoechea,novoarene@example.net,2000-10-06,Lawyer,205,Dominican Republic,Punta Cana,Individual,Approved,2024-09-25 02:34:05,Website
15,Francisca Rueda,jacintojove@example.org,1985-05-21,Data Analyst,141,Dominican Republic,San Pedro de Macorís,Honorary,Rejected,2022-03-26 18:33:50,Event
16,Dani Borrell,manu93@example.net,2007-07-15,Business Consultant,151,Dominican Republic,Puerto Plata,Student,Approved,2022-06-23 02:09:05,Referral
17,Constanza Pedro,reynamillan@example.com,1995-02-11,Civil Engineer,81,Dominican Republic,Santo Domingo,Student,Pending Payment,2021-07-02 13:48:05,Event
18,María Barrio,rebecapons@example.com,1986-05-12,Civil Engineer,80,Dominican Republic,La Romana,Student,Submitted,2024-08-04 10:47:39,Walk-in
